,file_name,prediction
0,melspec_0.npy,['Dog' 'Speech']
1,melspec_1.npy,['Dishes' 'Frying' 'Speech']
2,melspec_10.npy,['Alarm_bell_ringing' 'Speech']
3,melspec_100.npy,['Dishes' 'Speech']
4,melspec_1000.npy,['Running_water' 'Speech']
5,melspec_1001.npy,['Running_water' 'Speech']
6,melspec_1002.npy,['Speech']
7,melspec_1003.npy,['Speech' 'Vacuum_cleaner']
8,melspec_1004.npy,['Frying' 'Speech']
9,melspec_1005.npy,['Cat' 'Speech']
10,melspec_1006.npy,['Running_water' 'Speech']
11,melspec_1007.npy,['Dishes' 'Frying' 'Speech']
12,melspec_1008.npy,['Alarm_bell_ringing' 'Speech']
13,melspec_1009.npy,['Alarm_bell_ringing' 'Cat' 'Speech']
14,melspec_101.npy,['Speech']
15,melspec_1010.npy,['Dog' 'Speech']
16,melspec_1011.npy,['Speech']
17,melspec_1012.npy,['Speech']
18,melspec_1013.npy,['Speech']
19,melspec_1014.npy,['Electric_shaver_toothbrush' 'Speech']
20,melspec_1015.npy,['Speech']
21,melspec_1016.npy,['Alarm_bell_ringing' 'Speech']
22,melspec_1017.npy,['Speech']
23,melspec_1018.npy,['Running_water' 'Speech']
24,melspec_1019.npy,['Speech']
25,melspec_102.npy,['Speech']
26,melspec_1020.npy,['Dog' 'Speech']
27,melspec_1021.npy,['Speech']
28,melspec_1022.npy,['Alarm_bell_ringing' 'Speech']
29,melspec_1023.npy,['Dishes' 'Speech']
30,melspec_1024.npy,['Speech']
31,melspec_1025.npy,['Alarm_bell_ringing' 'Running_water' 'Speech']
32,melspec_1026.npy,['Frying' 'Speech']
33,melspec_1027.npy,['Dog' 'Speech']
34,melspec_1028.npy,['Electric_shaver_toothbrush' 'Speech']
35,melspec_1029.npy,['Alarm_bell_ringing' 'Speech']
36,melspec_103.npy,['Electric_shaver_toothbrush' 'Speech']
37,melspec_1030.npy,['Electric_shaver_toothbrush' 'Running_water' 'Speech']
38,melspec_1031.npy,['Dishes' 'Dog' 'Speech']
39,melspec_1032.npy,['Alarm_bell_ringing' 'Cat' 'Speech']
40,melspec_1033.npy,['Alarm_bell_ringing' 'Speech']
41,melspec_1034.npy,['Cat' 'Speech']
42,melspec_1035.npy,['Speech']
43,melspec_1036.npy,['Speech']
44,melspec_1037.npy,['Speech']
45,melspec_1038.npy,['Speech']
46,melspec_1039.npy,['Dog' 'Speech']
47,melspec_104.npy,['Speech']
48,melspec_1040.npy,['Dog' 'Speech']
49,melspec_1041.npy,['Alarm_bell_ringing' 'Speech']
50,melspec_1042.npy,['Electric_shaver_toothbrush' 'Speech']
51,melspec_1043.npy,['Cat' 'Speech']
52,melspec_1044.npy,['Dishes' 'Speech']
53,melspec_1045.npy,['Running_water' 'Speech']
54,melspec_1046.npy,['Dog' 'Speech']
55,melspec_1047.npy,['Speech']
56,melspec_1048.npy,['Speech']
57,melspec_1049.npy,['Electric_shaver_toothbrush' 'Speech']
58,melspec_105.npy,['Speech' 'Vacuum_cleaner']
59,melspec_1050.npy,['Electric_shaver_toothbrush' 'Speech']
